ID,Name,Type,X,Y,Width,Height,Section Link,Direct Link
2:6721,"Group 286",group,28667,7525,470,337.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6721","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6721&mode=design"
2:6722,"사각형 591",group,28667,7555,470,307.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6722","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6722&mode=design"
2:6723,"Vector",vector,28667,7555,470,307.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6723","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6723&mode=design"
2:6724,"Vector",vector,28667.58984375,7555.38671875,468.819091796875,307.2027587890625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6724","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6724&mode=design"
2:6725,"브랜드 단계에 따른 디테일한 가이딩",text,28765,7624,274,90,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6725","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6725&mode=design"
2:6726,"브랜드의 구축 단계 따라 달라지는 디테일한 솔루션을 제공합니다",text,28764,7739,276,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6726","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6726&mode=design"
2:6727,"Frame 493",frame,28802,7525,200,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6727","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6727&mode=design"
2:6728,"SOLUTION 3",text,28844,7540,116,30,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6728","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6728&mode=design"
2:6729,"Group 283",group,27885,7852.9765625,1027,211,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6729","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6729&mode=design"
2:6730,"패스 2200",vector,27896,7863,1007,50,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6730","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6730&mode=design"
2:6731,"패스 2201",vector,28398,7863.9765625,0,200,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6731","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6731&mode=design"
2:6732,"타원 83",vector,27885,7852.9765625,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6732","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6732&mode=design"
2:6733,"타원 84",vector,28388,7852.9765625,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6733","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6733&mode=design"
2:6734,"타원 85",vector,28892,7852.9765625,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6734","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6734&mode=design"
2:6735,"Rectangle 314",rectangle,27654,8064,1490,4034,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6735","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6735&mode=design"
2:6736,"철저히 분석하고 학습 훈련한 AI로 브랜드매니징을 더욱 정확하게 우리 브랜드의 다음단계를 더 전문적으로 만듭니다.",text,27871,11883,1057,120,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6736","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6736&mode=design"
2:6737,"Frame 478",frame,27912,8184.02734375,975,246,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6737","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6737&mode=design"
2:6738,"Frame 454",frame,28236,8184.02734375,327,54,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6738","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6738&mode=design"
2:6739,"Core Process",text,28356,8188.52734375,87,45,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6739","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6739&mode=design"
2:6740,"Frame 476",frame,27912,8288.02734375,975,142,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6740","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6740&mode=design"
2:6741,"우리 브랜드만의 포지셔닝을 명확히 해야 합니다.",text,27928,8288.02734375,943,48,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6741","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6741&mode=design"
2:6742,"브랜드의 강점, 약점, 기회, 위협을 파악해 핵심 가치와 차별점을 정의하고, 시장에서의 독특한 위치를 설정하며, 타겟 고객 및 경쟁사 분석을 통해 차별화 포인트를 확립하여 효과적인 핵심 메시지와 일관된 브랜드 이미지를 구축합니다.",text,27912,8366.02734375,975,64,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6742","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6742&mode=design"
2:6743,"Frame 479",frame,27882,9482,1035,246,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6743","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6743&mode=design"
2:6744,"Frame 454",frame,28236,9482,327,54,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6744","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6744&mode=design"
2:6745,"Core Process",text,28352.5,9486.5,94,45,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6745","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6745&mode=design"
2:6746,"Frame 476",frame,27882,9586,1035,142,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6746","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6746&mode=design"
2:6747,"우리 브랜드만의 포지셔닝을 명확히 해야 합니다.",text,27966,9586,867,48,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6747","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6747&mode=design"
2:6748,"브랜드의 생애주기와 시장상황을 고려하여 인지도 구축, 이미지 강화, 고객 충성도 증대 및 브랜드 확장을 위한 전략을 수립하고, 아이덴티티를 지속적으로 모니터링하여 장기적인 브랜드 가치를 극대화하는 체계적인 브랜드 자산 관리 프로세스를 수행합니다.",text,27882,9664,1035,64,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6748","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6748&mode=design"
